group,name,version,license,optional,installScript,review,lockPath
development,7zip-bin,5.2.0,MIT,false,false,permissive-or-public-domain,node_modules/7zip-bin
development,abbrev,3.0.1,ISC,false,false,permissive-or-public-domain,node_modules/abbrev
development,acorn,8.16.0,MIT,false,false,permissive-or-public-domain,node_modules/acorn
development,acorn-jsx,5.3.2,MIT,false,false,permissive-or-public-domain,node_modules/acorn-jsx
development,agent-base,7.1.4,MIT,false,false,permissive-or-public-domain,node_modules/agent-base
development,ajv,6.14.0,MIT,false,false,permissive-or-public-domain,node_modules/ajv
development,ajv-keywords,3.5.2,MIT,false,false,permissive-or-public-domain,node_modules/ajv-keywords
development,ansi-regex,5.0.1,MIT,false,false,permissive-or-public-domain,node_modules/ansi-regex
development,ansi-styles,4.3.0,MIT,false,false,permissive-or-public-domain,node_modules/ansi-styles
development,app-builder-bin,5.0.0-alpha.12,MIT,false,false,permissive-or-public-domain,node_modules/app-builder-bin
development,app-builder-lib,26.8.1,MIT,false,false,permissive-or-public-domain,node_modules/app-builder-lib
development,app-builder-lib/node_modules/@electron/get,3.1.0,MIT,false,false,permissive-or-public-domain,node_modules/app-builder-lib/node_modules/@electron/get
